WARNING: Could not find BOOLECTOR binary, "--boolector" option not available.
Rounds	Xa                  Xb                  Xc                  A                   F                   w                   
-------------------------------------------------------------------------------------------------------------------------------
0	0x0080402010000000  0x0100804020000000  0x0201008040000000  0x0000000000000000  0x0000000000000000  -0                  
1	0x0402010080000000  0x0804020100000000  0x1008040200000000  0x00000000000000A0  0x0000000000000000  -2                  
2	0x2010080400000000  0x4020100800000000  0x8040201000000000  0x0000000000000000  0x0000000000000000  -0                  
3	0x0080402000000000  0x0100804000000000  0x0201008000000000  0x0000000000000000  0x0000000000000000  -0                  
4	0x0402010000000000  0x0804020000000000  0x1008040000000000  0x0000000000000020  0x0000000000000000  -1                  
5	0x2010080000000000  0x4020100000000000  0x8040200000000000  0x0000000000000000  0x0000000000000000  -0                  
6	0x0080400000000000  0x0100800000000000  0x0201000000000000  0x0000000000000000  0x0000000000000000  -0                  
7	0x0402000000000000  0x0804000000000000  0x1008000000000000  0x0000000000000020  0x0000000000000000  -1                  
8	0x2010000000000000  0x4020000000000000  0x8040000000000000  0x0000000000000000  0x0000000000000000  -0                  
9	0x0080000000000000  0x0100000000000000  0x0200000000000000  0x0000000000000000  0x0000000000000000  -0                  
10	0x0400000000000000  0x0800000000000000  0x1000000000000000  0x0000000000000020  0x0000000000000000  -1                  
11	0x2000000000000000  0x4000000000000000  0x8000000000000000  0x0000000000000000  0x0000000000000000  -0                  
12	0x0000000000000001  0x0000000000000002  0x0000000000000004  0x0000000000000000  0x0000000000000000  -0                  
13	0x0000000000000008  0x0000000000000010  0x0000000000000020  0x0000000000000000  0x0000000000000000  -0                  
14	0x0000000000000040  0x0000000000000080  0x0000000000000100  0x0000000000000000  0x0000000000000000  -0                  
15	0x0000000000000200  0x0000000000000400  0x0000000000000800  0x0000000000000001  0x0000000000000000  -1                  
16	0x0000000000001000  0x0000000000002000  0x0000000000004000  0x0000000000000040  0x0000000000000000  -1                  
17	0x0000000000008000  0x0000000000010000  0x0000000000020000  0x0000000000000000  0x0000000000000000  -0                  
18	0x0000000000040000  0x0000000000080000  0x0000000000100000  0x0000000000000000  0x0000000000000000  -0                  
19	0x0000000000200000  0x0000000000400000  0x0000000000800000  0x0000000000000002  0x0000000000000000  -1                  
20	0x0000000001000000  0x0000000002000000  0x0000008004000000  0x0000000000000000  0x0000000000000000  -0                  
21	0x0000010008000000  0x0000020010000000  0x0000040020000000  0x0000000000000000  0x0000000000000000  -0                  
