WARNING: Could not find BOOLECTOR binary, "--boolector" option not available.
Rounds	X           A           F           w           
-------------------------------------------------------
0	0x40028200  0x00000000  0x00000000  -0          
1	0x80050400  0x00000002  0x00000002  -1          
2	0x00020801  0x00000000  0x00000000  -0          
3	0x00041002  0x00000002  0x00000002  -1          
4	0x00002004  0x00000000  0x00000000  -0          
5	0x00004008  0x00000001  0x00000000  -1          
6	0x00008010  0x00000000  0x00000000  -0          
7	0x00010020  0x00000000  0x00000000  -0          
8	0x00020040  0x00000000  0x00000000  -0          
9	0x00040080  0x00000000  0x00000000  -0          
10	0x00000100  0x00000001  0x00000000  -1          
11	0x00000200  0x00000000  0x00000000  -0          
12	0x00000400  0x00000002  0x00000000  -1          
13	0x00000800  0x00000000  0x00000000  -0          
14	0x00001000  0x00000002  0x00000000  -1          
15	0x00002000  0x00000000  0x00000000  -0          
16	0x00004000  0x00000000  0x00000000  -0          
17	0x00008000  0x00000000  0x00000000  -0          
18	0x00010000  0x00000000  0x00000000  -0          
19	0x00020000  0x00000000  0x00000000  -0          
20	0x00040000  0x00000000  0x00000000  -0          
21	0x00080000  0x00000000  0x00000000  -0          
22	0x00100000  0x00000000  0x00000000  -0          
23	0x00200000  0x00000000  0x00000000  -0          
24	0x00400000  0x00000000  0x00000000  -0          
25	0x00800000  0x00000000  0x00000000  -0          
26	0x01000000  0x00000004  0x00000000  -1          
27	0x02000000  0x00000000  0x00000000  -0          
28	0x04000000  0x00000000  0x00000000  -0          
29	0x08000001  0x00000004  0x00000000  -1          
30	0x10000002  0x00000000  0x00000000  -0          
31	0x20000004  0x00000000  0x00000000  -0          
32	0x40000008  0x00000001  0x00000001  -1          
33	0x80080010  0x00000000  0x00000000  -0          
34	0x00100021  0x00000000  0x00000000  -0          
35	0x00200042  0x00000000  0x00000000  -0          
36	0x00400084  0x00000000  0x00000000  -0          
37	0x00880108  0x00000001  0x00000000  -1          
38	0x01100210  0x00000004  0x00000004  -1          
39	0x02200421  0x00000002  0x00000000  -1          
40	0x04400842  0x00000000  0x00000000  -0          
41	0x08801084  0x00000006  0x00000002  -2          
42	0x11002108  0x00000005  0x00000000  -2          
43	0x22004210  0x00000000  0x00000000  -0          
44	0x44008420  0x00000002  0x00000000  -1          
45	0x88010841  0x00000004  0x00000004  -1          
46	0x10021082  0x00000002  0x00000002  -1          
47	0x20042104  0x00000001  0x00000001  -1          
48	0x40004208  0x00000001  0x00000000  -1          
49	0x80008410  0x00000002  0x00000000  -1          
50	0x00010821  0x00000000  0x00000000  -0          
51	0x00021042  0x00000002  0x00000000  -1          
52	0x00042084  0x00000000  0x00000000  -0          
53	0x00004108  0x00000001  0x00000000  -1          
54	0x00008210  0x00000000  0x00000000  -0          
55	0x00010420  0x00000002  0x00000000  -1          
56	0x00020840  0x00000000  0x00000000  -0          
57	0x00041080  0x00000002  0x00000000  -1          
58	0x00002100  0x00000001  0x00000000  -1          
59	0x00004200  0x00000000  0x00000000  -0          
60	0x00008400  0x00000002  0x00000000  -1          
61	0x00010800  0x00000000  0x00000000  -0          
62	0x00021000  0x00000002  0x00000000  -1          
63	0x00042000  0x00000000  0x00000000  -0          
64	0x00084000  0x00000000  0x00000000  -0          
65	0x00108000  0x00000000  0x00000000  -0          
66	0x00210000  0x00000000  0x00000000  -0          
67	0x00420000  0x00000000  0x00000000  -0          
68	0x00840000  0x00000000  0x00000000  -0          
69	0x01080000  0x00000004  0x00000000  -1          
70	0x02100000  0x00000000  0x00000000  -0          
71	0x04200000  0x00000000  0x00000000  -0          
72	0x08400001  0x00000004  0x00000000  -1          
73	0x10800003  0x00000000  0x00000000  -0          
74	0x21000006  none        none        none        

Weight: 31
Rounds	X           A           F           w           
-------------------------------------------------------
0	0x40028200  0x00000000  0x00000000  -0          
1	0x80050400  0x00000002  0x00000002  -1          
2	0x00020801  0x00000000  0x00000000  -0          
3	0x00041002  0x00000002  0x00000002  -1          
4	0x00002004  0x00000000  0x00000000  -0          
