Characteristic for cham - Rounds 40 - Wordsize 16 - Weight 66 - Offset (KATAN only) 0 - Time 34.42s
Rounds  X0      X1      X2      X3      w
-----------------------------------------------
0       0x0020  0x0010  0x1020  0x2800  -1
1       0x0010  0x1020  0x2800  0x0000  -2
2       0x1020  0x2800  0x0000  0x4000  -3
3       0x2800  0x0000  0x4000  0x2040  -2
4       0x0000  0x4000  0x2040  0x5000  -0
5       0x4000  0x2040  0x5000  0x0080  -2
6       0x2040  0x5000  0x0080  0x0040  -2
7       0x5000  0x0080  0x0040  0x4080  -2
8       0x0080  0x0040  0x4080  0xA000  -1
9       0x0040  0x4080  0xA000  0x0000  -1
10      0x4080  0xA000  0x0000  0x0001  -3
11      0xA000  0x0000  0x0001  0x8100  -1
12      0x0000  0x0001  0x8100  0x4001  -1
13      0x0001  0x8100  0x4001  0x0200  -2
14      0x8100  0x4001  0x0200  0x0100  -2
15      0x4001  0x0200  0x0100  0x0201  -3
16      0x0200  0x0100  0x0201  0x8003  -1
17      0x0100  0x0201  0x8003  0x0000  -2
18      0x0201  0x8003  0x0000  0x0004  -4
19      0x8003  0x0000  0x0004  0x0402  -2
20      0x0000  0x0004  0x0402  0x0007  -1
21      0x0004  0x0402  0x0007  0x0800  -2
22      0x0402  0x0007  0x0800  0x0400  -4
23      0x0007  0x0800  0x0400  0x0004  -4
24      0x0800  0x0400  0x0004  0x0002  -1
25      0x0400  0x0004  0x0002  0x0000  -1
26      0x0004  0x0002  0x0000  0x0000  -1
27      0x0002  0x0000  0x0000  0x0000  -1
28      0x0000  0x0000  0x0000  0x0004  -0
29      0x0000  0x0000  0x0004  0x0000  -0
30      0x0000  0x0004  0x0000  0x0000  -1
31      0x0004  0x0000  0x0000  0x0800  -1
32      0x0000  0x0000  0x0800  0x0008  -0
33      0x0000  0x0800  0x0008  0x0000  -1
34      0x0800  0x0008  0x0000  0x0010  -2
35      0x0008  0x0000  0x0010  0x1008  -1
36      0x0000  0x0010  0x1008  0x0010  -1
37      0x0010  0x1008  0x0010  0x2000  -2
38      0x1008  0x0010  0x2000  0x1000  -3
39      0x0010  0x2000  0x1000  0x2810  -2
40      0x2000  0x1000  0x2810  0x0020  none

Weight: 66
